,id,currency,name,price,price_date,high,market_cap,max_supply
0,BTG,BTG,Bitcoin Gold,66.67545581,2021-09-15T00:00:00Z,430.11045563,1167748866,21000000
0,DASH,DASH,Dash,205.92208634,2021-09-15T00:00:00Z,1440.27425935,2127449076,18920000
0,ETH,ETH,Ethereum,3410.02906094,2021-09-15T00:00:00Z,4180.56828901,400774956416,
0,EOS,EOS,EOS,4.83439426,2021-09-15T00:00:00Z,21.03057194,4675845576,
0,GNT,GNT,Golem,0.48735453,2021-09-15T00:00:00Z,1.09138386,487354533,1000000000
0,LTC,LTC,Litecoin,181.79560780,2021-09-15T00:00:00Z,388.77653392,12135332128,84000000
0,QTUM,QTUM,Qtum,12.68719180,2021-09-15T00:00:00Z,71.82734888,1316069772,107822406
0,SC,SC,Siacoin,0.018789843,2021-09-15T00:00:00Z,0.088197819,917956625,
0,ACC,ACC,Accelerator,0.024692279,2019-08-22T00:00:00Z,59.31772000,20074,1369367
0,ADX,ADX,AdEx,0.54011547,2021-09-15T00:00:00Z,3.26294582,69682781,137457076
0,ADT,ADT,adToken,0.00096908610,2020-04-03T00:00:00Z,0.20105948,798527,1000000000
0,AIR,AIR,AirToken,0.0014534276,2018-11-23T00:00:00Z,0.083581193,,1491492558
0,ABC,ABC,Anti Bureaucracy Coin,0.0084199115,2018-12-14T00:00:00Z,0.15962525,,
0,ALT,ALT,AltEstate Token,0.00023239021,2021-09-04T00:00:00Z,0.0028013861,163014,1046924703
0,ANTI,ANTI,AntiSafe,0.00000000,,,,
0,ARC,ARC,Arcade City,0.58526301,2020-11-20T00:00:00Z,0.58526301,,9525397
0,ARI,ARI,Aricoin,0.00010677095,2020-10-04T00:00:00Z,0.00098267586,,322000000
0,ADC,ADC,Android chain,0.000039046626,2021-09-15T00:00:00Z,0.95750832,,880000000
0,ACN,ACN,Avoncoin,0.0000011985828,2020-12-17T00:00:00Z,0.00011518561,,
0,BTA,BTA,Bata,0.0064071402,2020-12-24T00:00:00Z,0.035443048,32212,10000000
0,BCAP,BCAP,Blockchain Capital,0.21214732,2018-11-20T00:00:00Z,5.00695478,,10000000
0,BEST,BEST,Bitpanda Ecosystem Token,0.71319345,2021-09-13T00:00:00Z,2.90987575,,844651203
0,BIP,BIP,BipCoin,0.0037870329,2021-09-15T00:00:00Z,0.038001150,6161,
0,BIS,BIS,Bismuth,0.32902460,2021-09-15T00:00:00Z,0.50510385,7913847,
0,BCD,BCD,Bitcoin Diamond,2.16945795,2021-09-15T00:00:00Z,102.85079690,408198478,210000000
0,BTCS,BTCS,Bitcoin Scrypt,0.00014141458,2021-09-15T00:00:00Z,4.65223240,2773,21000000
0,BCX,BCX,BitcoinX,0.0010733311,2021-09-15T00:00:00Z,0.12379841,,210000000000
0,BTX,BTX,Bitcore,0.26873484,2021-09-15T00:00:00Z,36.75970917,5030367,21000000
0,FID,FID,Fidelium,0.00000000,,,,300000000
0,BQ,BQ,bitqy,0.0000034919220,2019-10-16T00:00:00Z,0.00011473736,7373,10000000000
0,VOLT,VOLT,VoldyToken,0.000000071249287,2021-09-15T00:00:00Z,0.00000015114478,,
0,BLUE,BLUE,Ethereum Blue,0.0092089676,2021-09-15T00:00:00Z,2.18818038,340732,42000000
0,BRX,BRX,Breakout Stake,0.0065821679,2020-09-15T00:00:00Z,2.83848561,,12500000
0,BCO,BCO,BananaCoin,0.00000000,,,,6812551
0,TALK,TALK,BTCtalkcoin,0.00024000661,2021-09-15T00:00:00Z,0.025084962,16563,
0,BUZZ,BUZZ,BuzzCoin,0.000047204351,2021-09-14T00:00:00Z,0.000073402476,944087,20000000000
0,CF,CF,Californium,0.0084649025,2021-09-13T00:00:00Z,0.024177741,,2510000
