date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,Code
2021-09-14,20.18,20.27,19.37,19.27,1158173.12,-0.84,-4.16,19.676,19.039,19.048,1307210.65,1580793.92,1313583.99,0.6,000001
2021-09-14,21.13,21.45,20.13,20.06,1607058.38,-1.13,-5.32,20.464,20.641,21.206,1001682.0,912698.58,873757.09,1.65,000002
2021-09-14,18.63,20.49,20.49,18.63,111357.04,1.86,9.98,19.34,19.061,19.575,46083.16,38673.85,40033.22,9.57,000004
2021-09-14,2.31,2.32,2.27,2.25,145508.0,-0.05,-2.15,2.294,2.31,2.23,156236.58,230253.4,196679.02,1.38,000005
2021-09-14,4.84,4.89,4.71,4.69,127510.97,-0.14,-2.89,4.792,4.739,4.664,123638.29,123580.37,98271.26,0.94,000006
2021-09-14,3.73,3.82,3.77,3.6,136976.86,-0.02,-0.53,3.928,4.005,4.079,96245.74,87590.51,69900.61,4.43,000007
2021-09-14,2.45,2.47,2.38,2.36,404502.28,-0.07,-2.86,2.426,2.359,2.262,434851.67,373736.09,309356.28,1.5,000008
2021-09-14,20.32,22.44,22.44,20.01,2009299.5,2.04,10.0,21.942,22.845,25.04,1315465.59,1250803.01,997654.11,7.88,000009
2021-09-14,3.9,3.91,3.81,3.8,51432.04,-0.08,-2.06,3.84,3.806,3.773,63732.88,55997.67,48786.64,0.98,000010
2021-09-14,13.02,13.4,12.78,12.75,111529.57,-0.15,-1.16,12.778,12.654,12.179,79273.44,93058.23,76278.64,2.12,000011
2021-09-14,11.33,11.6,11.33,11.01,723177.12,-0.09,-0.79,11.572,11.727,11.811,993940.95,1234793.24,1109974.75,3.7,000012
2021-09-14,7.44,7.47,7.44,7.32,15350.5,0.0,0.0,7.43,7.409,7.2,20339.39,26036.64,20257.91,0.76,000014
2021-09-14,7.45,7.49,7.02,7.02,668350.5,-0.67,-8.71,7.484,7.533,7.441,835568.45,618768.6,642721.52,4.19,000016
