,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,001208.SZ,20210707,12.45,12.45,12.45,12.45,11.32,1.13,9.9823,243720.5,303432.022
1,001208.SZ,20210706,11.32,11.32,11.32,11.32,10.29,1.03,10.0097,33128.67,37501.654
2,001208.SZ,20210705,10.29,10.29,10.29,10.29,9.35,0.94,10.0535,27340.61,28133.487
3,001208.SZ,20210702,9.35,9.35,9.35,9.35,8.5,0.85,10.0,6251.92,5845.545
4,001208.SZ,20210701,8.5,8.5,8.5,8.5,7.73,0.77,9.9612,4403.5,3742.975
5,001208.SZ,20210630,7.73,7.73,7.73,7.73,7.03,0.7,9.9573,5386.7,4163.919
6,001208.SZ,20210629,7.03,7.03,7.03,7.03,6.39,0.64,10.0156,2970.28,2088.106
7,001208.SZ,20210628,6.39,6.39,6.39,6.39,5.81,0.58,9.9828,2384.38,1523.618
8,001208.SZ,20210625,5.81,5.81,5.81,5.81,5.28,0.53,10.0379,1427.64,829.458
9,001208.SZ,20210624,4.4,5.28,4.4,5.28,3.67,1.61,43.8692,6093.01,3209.881
