,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002989.SZ,20200630,56.0,56.65,55.3,56.18,56.25,-0.07,-0.1244,67301.56,376508.978
1,002989.SZ,20200629,55.1,56.28,54.25,56.25,54.3,1.95,3.5912,75885.29,420404.646
2,002989.SZ,20200624,56.12,56.58,54.09,54.3,55.49,-1.19,-2.1445,76697.34,425780.848
3,002989.SZ,20200623,57.55,57.88,55.2,55.49,59.2,-3.71,-6.2669,117034.41,659223.722
4,002989.SZ,20200622,60.35,60.97,58.0,59.2,62.35,-3.15,-5.0521,136612.87,812412.19
5,002989.SZ,20200619,58.11,63.76,54.5,62.35,57.96,4.39,7.5742,210846.17,1254461.483
6,002989.SZ,20200618,57.5,60.69,56.66,57.96,56.86,1.1,1.9346,214024.67,1249055.348
7,002989.SZ,20200617,56.86,56.86,56.86,56.86,51.69,5.17,10.0019,6529.82,37128.556
8,002989.SZ,20200616,51.59,51.69,47.85,51.69,46.99,4.7,10.0021,153008.44,766257.297
9,002989.SZ,20200615,46.99,46.99,45.52,46.99,42.72,4.27,9.9953,55765.87,261866.512
10,002989.SZ,20200612,42.72,42.72,42.72,42.72,38.84,3.88,9.9897,3186.16,13611.275
11,002989.SZ,20200611,38.84,38.84,38.84,38.84,35.31,3.53,9.9972,477.77,1855.658
12,002989.SZ,20200610,29.42,35.31,29.42,35.31,24.52,10.79,44.0049,1121.09,3942.08
