,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
72,003028.SZ,20210521,50.01,53.7,49.81,53.55,50.66,2.89,5.7047,31879.63,165529.082
73,003028.SZ,20210520,46.88,51.0,46.69,50.66,47.41,3.25,6.8551,37171.4,182115.091
74,003028.SZ,20210519,45.1,47.87,44.71,47.41,45.21,2.2,4.8662,27120.83,126171.844
75,003028.SZ,20210518,45.01,45.75,44.51,45.21,45.04,0.17,0.3774,13297.56,59840.224
76,003028.SZ,20210517,45.6,46.21,44.68,45.04,45.7,-0.66,-1.4442,22581.08,102898.585
77,003028.SZ,20210514,44.51,46.3,44.46,45.7,44.39,1.31,2.9511,20331.72,92849.647
78,003028.SZ,20210513,44.81,44.98,44.14,44.39,45.3,-0.91,-2.0088,16587.06,73742.393
79,003028.SZ,20210512,44.81,45.58,44.7,45.3,45.17,0.13,0.2878,13558.0,61186.693
80,003028.SZ,20210511,44.1,45.88,44.1,45.17,44.83,0.34,0.7584,19241.02,87026.742
81,003028.SZ,20210510,45.54,46.97,43.97,44.83,45.25,-0.42,-0.9282,27008.32,121590.109
82,003028.SZ,20210507,49.1,49.1,44.73,45.25,49.33,-4.08,-8.2708,44910.76,207987.756
83,003028.SZ,20210506,50.0,50.3,48.0,49.33,50.0,-0.67,-1.34,19629.99,96457.28
84,003028.SZ,20210430,50.08,50.95,49.3,50.0,49.64,0.36,0.7252,23734.14,118917.982
85,003028.SZ,20210429,52.15,53.48,49.28,49.64,52.73,-3.09,-5.86,33290.04,169073.987
86,003028.SZ,20210428,51.96,53.77,50.23,52.73,53.12,-0.39,-0.7342,34982.78,181753.421
87,003028.SZ,20210427,53.87,54.39,52.12,53.12,54.72,-1.6,-2.924,30794.81,163434.146
88,003028.SZ,20210426,55.79,56.95,54.03,54.72,55.66,-0.94,-1.6888,37645.68,208258.502
89,003028.SZ,20210423,54.86,56.58,53.8,55.66,55.52,0.14,0.2522,47511.71,261991.349
90,003028.SZ,20210422,51.62,57.5,51.11,55.52,52.27,3.25,6.2177,74231.11,413744.212
91,003028.SZ,20210421,49.31,52.48,48.5,52.27,49.48,2.79,5.6386,41798.47,212983.04
92,003028.SZ,20210420,49.27,51.45,48.76,49.48,51.19,-1.71,-3.3405,44855.08,223298.718
93,003028.SZ,20210419,48.51,53.74,48.35,51.19,49.1,2.09,4.2566,53172.86,268747.226
94,003028.SZ,20210416,50.0,50.0,48.01,49.1,50.05,-0.95,-1.8981,51440.31,252049.683
95,003028.SZ,20210415,47.18,50.05,47.18,50.05,45.5,4.55,10.0,52336.8,256108.812
96,003028.SZ,20210414,45.0,45.79,44.49,45.5,45.22,0.28,0.6192,23996.05,108179.382
97,003028.SZ,20210413,43.87,47.86,43.87,45.22,43.86,1.36,3.1008,28911.51,131760.071
98,003028.SZ,20210412,46.0,46.44,43.1,43.86,45.98,-2.12,-4.6107,36752.52,164587.493
99,003028.SZ,20210409,44.9,46.18,44.1,45.98,45.11,0.87,1.9286,36487.44,164726.453
100,003028.SZ,20210408,43.79,47.2,43.33,45.11,43.95,1.16,2.6394,50886.48,231120.273
101,003028.SZ,20210407,42.06,44.64,42.06,43.95,42.75,1.2,2.807,28238.72,122211.912
102,003028.SZ,20210406,43.1,43.57,42.0,42.75,42.1,0.65,1.5439,29754.5,127285.74
103,003028.SZ,20210402,40.87,42.39,40.84,42.1,41.18,0.92,2.2341,25428.56,106436.516
104,003028.SZ,20210401,41.03,41.49,40.6,41.18,41.52,-0.34,-0.8189,16721.0,68555.192
105,003028.SZ,20210331,40.88,41.99,40.63,41.52,41.19,0.33,0.8012,23409.69,96749.486
106,003028.SZ,20210330,39.74,41.36,39.62,41.19,39.75,1.44,3.6226,20715.89,83994.963
107,003028.SZ,20210329,40.45,41.12,39.58,39.75,40.47,-0.72,-1.7791,15561.44,62698.997
108,003028.SZ,20210326,40.11,40.71,39.92,40.47,40.46,0.01,0.0247,12892.64,52043.158
109,003028.SZ,20210325,39.59,41.84,39.59,40.46,40.01,0.45,1.1247,21467.9,87553.109
