,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,605166.SH,20200630,16.0,16.46,15.33,15.85,16.36,-0.51,-3.1174,469081.04,741015.158
1,605166.SH,20200629,16.36,16.36,16.36,16.36,14.87,1.49,10.0202,44226.26,72354.161
2,605166.SH,20200624,14.87,14.87,14.87,14.87,13.52,1.35,9.9852,3604.52,5359.921
3,605166.SH,20200623,13.52,13.52,13.52,13.52,12.29,1.23,10.0081,1623.99,2195.634
4,605166.SH,20200622,12.29,12.29,12.29,12.29,11.17,1.12,10.0269,2123.33,2609.573
5,605166.SH,20200619,11.17,11.17,11.17,11.17,10.15,1.02,10.0493,971.13,1084.752
6,605166.SH,20200618,8.46,10.15,8.46,10.15,7.05,3.1,43.9716,2488.64,2522.59
