,id,currency,name,price,price_date,high,market_cap,max_supply
0,R,R,Revain,0.033980825,2021-09-04T00:00:00Z,4.23960640,16462011,60550308334
0,R,R,Revain,0.033980825,2021-09-04T00:00:00Z,4.23960640,16462011,60550308334
