AA,2021-08-10,40.69,44.15,40.65,43.87,11280783
AAC,2021-08-10,9.79,9.79,9.69,9.7,28694
AAP,2021-08-10,204.21,209.39,204.13,208.74,408285
ABB,2021-08-10,36.97,37.18,36.925,37.16,976320
ABC,2021-08-10,119.87,119.95,117.32,118.97,989725
ABG,2021-08-10,194.3,199.17,191.94,196.82,146608
ABR,2021-08-10,18.33,18.53,18.14,18.52,2619604
ACCO,2021-08-10,8.85,9.06,8.77,9.05,244096
ACI,2021-08-10,26,29.09,25.79,29.05,6455905
ACP,2021-08-10,11.39,11.39,11.36,11.38,94101
ADC,2021-08-10,74.55,74.65,73.86,73.93,307444
ADPT,2021-08-10,35.18,35.41,33.25,34.37,983934
ADT,2021-08-10,9.16,9.25,9.02,9.18,3171831
AEB,2021-08-10,26.01,26.05,25.82,26,20905
AEG,2021-08-10,4.42,4.48,4.41,4.47,1304144
AEM,2021-08-10,58.74,58.98,57.695,57.91,1189767
AEP,2021-08-10,88.68,89.22,88.26,88.75,2468831
AES,2021-08-10,24.21,24.735,24.11,24.34,4612800
AFB,2021-08-10,14.96,15,14.95,14.97,69316
AFG,2021-08-10,132.83,134.53,132.68,133.63,290290
AFL,2021-08-10,56.03,56.955,55.7,56.7,3123224
AGC,2021-08-10,10.73,10.7538,10.5,10.52,510791
AGD,2021-08-10,12.29,12.36,12.25,12.33,26974
AGM,2021-08-10,97.55,98.81,97.04,98.81,20665
AGO,2021-08-10,48.47,49.85,48.33,49.28,290485
AGRO,2021-08-10,9.72,10.09,9.71,10.08,532047
AGX,2021-08-10,44.39,45.75,44.39,45.74,35633
AHH,2021-08-10,13.06,13.3,12.92,13.05,144411
AIG,2021-08-10,51.86,53.405,51.86,53.14,7491346
AIN,2021-08-10,76.53,77.75,75.54,77.7,159564
AIT,2021-08-10,85.76,88.94,85.76,88.79,125609
AIW,2021-08-10,4.87,4.885,4.65,4.78,32285
AIZ,2021-08-10,160.2,163.32,160.09,162.28,300186
ALB,2021-08-10,232.3,242.01,232.3,239.03,1977930
ALE,2021-08-10,71.76,71.925,71.33,71.83,147717
ALG,2021-08-10,147.81,153.49,147.18,152.32,57432
ALK,2021-08-10,56.81,58.98,56.52,58.47,1621283
ALLE,2021-08-10,136.21,138.02,136.15,136.48,447412
ALX,2021-08-10,267.7,271.22,267.47,268.5,9075
AME,2021-08-10,136.1,137.16,136.01,136.8,1237144
AMG,2021-08-10,164.39,167.8,163.79,167.01,125013
AMP,2021-08-10,266.12,270.39,264.43,268.43,354098
AMX,2021-08-10,16.43,16.73,16.325,16.65,2039394
ANET,2021-08-10,374.44,375,369.905,371.7,246656
ANTM,2021-08-10,375.83,378.93,373.96,377.37,744152
AOD,2021-08-10,10.34,10.39,10.34,10.38,198512
AOS,2021-08-10,71.65,72.07,71.39,71.89,565992
APA,2021-08-10,18.02,19.14,18.015,19.06,6778532
APD,2021-08-10,274.59,278.69,274.59,277.87,1301108
APH,2021-08-10,73.5,73.78,73.21,73.63,1341563
ARC,2021-08-10,2.79,2.8,2.71,2.79,253262
ARE,2021-08-10,209.16,209.22,204.38,204.51,733734
ARES,2021-08-10,72.77,73.47,72.01,72.04,484367
ASB,2021-08-10,20.59,21.055,20.565,20.98,1217728
ASC,2021-08-10,3.24,3.34,3.16,3.32,132015
ASGN,2021-08-10,102,104.62,101.82,104.49,151000
ASPN,2021-08-10,36.79,37.13,36.64,37,168113
ASX,2021-08-10,9.22,9.29,9.07,9.26,3260315
ATHM,2021-08-10,42.6,44.23,41.73,41.96,632373
ATO,2021-08-10,101.23,101.445,100.38,100.89,463394
ATTO,2021-08-10,26.63,27.3,26.61,26.8549,7637
AU,2021-08-10,15.5,15.67,15.235,15.5,10767300
AVAL,2021-08-10,5.25,5.32,5.12,5.16,89666
AVD,2021-08-10,16.21,16.72,16.02,16.05,142925
AVK,2021-08-10,19.85,19.86,19.52,19.59,103065
AVY,2021-08-10,215.36,218.53,215,217.03,344659
AWH,2021-08-10,4.5,4.5,4.2,4.23,389676
AWK,2021-08-10,177.2,177.32,175.51,176.01,623985
AWR,2021-08-10,90.08,90.28,88.75,89.18,148414
AXL,2021-08-10,9.18,9.46,9.06,9.4,811769
AXP,2021-08-10,170.73,171.625,168.675,169.49,3389706
AXS,2021-08-10,51.79,52.48,51.62,52.39,196376
AYI,2021-08-10,173.92,179.33,173.06,179.18,252389
AZO,2021-08-10,1618.83,1643.976,1613.79,1632.8199,139474
B,2021-08-10,48.77,49.125,48.66,49.09,98881
BABA,2021-08-10,197.27,198.45,195.08,195.73,9907983
BAK,2021-08-10,21.7,22.28,21.66,21.95,103778
BAM,2021-08-10,57.14,57.83,57.14,57.28,2002888
BBD,2021-08-10,4.49,4.555,4.465,4.5,22685535
BBN,2021-08-10,26.14,26.22,26.08,26.08,124434
BBVA,2021-08-10,6.73,6.815,6.705,6.8,843209
BC,2021-08-10,103.095,105.06,101.82,104.61,228014
BCC,2021-08-10,53.06,54.63,53.01,54.56,376135
BCEI,2021-08-10,36.37,39.19,35.38,38.8,810880
BCO,2021-08-10,76.79,78.01,76.34,77.71,135321
BCX,2021-08-10,9.17,9.32,9.16,9.25,265257
BDJ,2021-08-10,10.25,10.27,10.2221,10.27,220152
BEN,2021-08-10,32.31,33.27,32.215,32.82,2856179
BERY,2021-08-10,65.16,66.05,64.59,65.41,899554
BFK,2021-08-10,15.62,15.62,15.51,15.51,47145
BG,2021-08-10,77.43,78.81,77.35,78.65,710383
BGH,2021-08-10,17.14,17.1499,16.82,16.94,106065
BGS,2021-08-10,29.81,30.455,29.68,30.31,859699
BGX,2021-08-10,14.62,14.71,14.6,14.61,19210
BH,2021-08-10,165.31,171.749,163.875,169.54,3429
BHP,2021-08-10,76.01,77.599,75.9365,77.53,1692539
BIG,2021-08-10,54.1,56.15,53.34,56.11,644470
BIO,2021-08-10,757.93,769.77,757.93,763.8,139395
BIP,2021-08-10,54.93,55.41,54.89,54.91,176006
BK,2021-08-10,53.22,54.04,53.16,53.83,4552203
BKD,2021-08-10,6.75,6.84,6.57,6.63,2278999
BKH,2021-08-10,70.11,70.51,69.5709,70.24,227206
BKN,2021-08-10,18.46,18.6856,18.34,18.54,17106
BKT,2021-08-10,6.45,6.46,6.38,6.39,316067
BLL,2021-08-10,87.35,89.62,87.23,88.83,2015900
BLX,2021-08-10,16.9,16.99,16.74,16.78,98745
BME,2021-08-10,48.97,49.08,48.74,49,25490
BMY,2021-08-10,67.44,67.56,66.77,67.38,6427802
BNY,2021-08-10,15.29,15.36,15.29,15.35,21051
BOE,2021-08-10,12.57,12.57,12.4711,12.53,121179
BP,2021-08-10,25.37,25.9,25.37,25.88,8573427
BPT,2021-08-10,3.5,3.66,3.5,3.59,115891
BR,2021-08-10,172.74,172.885,170.94,171.53,359303
BRFS,2021-08-10,4.69,4.69,4.62,4.65,1529740
BRP,2021-08-10,29,33.86,28.86,32.6,994028
BRX,2021-08-10,23.24,23.66,23.085,23.24,2172378
BSBR,2021-08-10,7.71,7.78,7.61,7.69,598613
BSL,2021-08-10,16.52,16.54,16.28,16.38,48403
BST,2021-08-10,54.7,54.7,54.18,54.33,109483
BTT,2021-08-10,26.35,26.38,26.29,26.35,49192
BTZ,2021-08-10,15.6,15.62,15.56,15.59,135165
BUI,2021-08-10,26.11,26.29,26.0266,26.18,55846
BVN,2021-08-10,7.37,7.425,7.17,7.18,725168
BX,2021-08-10,114.58,115.13,113.61,113.82,2643510
BXMX,2021-08-10,14.82,14.87,14.8,14.84,92758
BYD,2021-08-10,59.3,60.34,59.0005,59.53,652411
BZH,2021-08-10,17.21,17.65,16.98,17.37,248712
C,2021-08-10,71.62,73.34,71.38,72.98,17701324
CACI,2021-08-10,251.15,253.44,246.73,253.29,252461
CAF,2021-08-10,21.75,21.98,21.75,21.92,16929
CAH,2021-08-10,50.45,51.06,49.37,51.01,4340340
CALX,2021-08-10,46.17,46.38,44.5891,45.02,379435
CATO,2021-08-10,16.67,16.9177,16.31,16.34,115311
CBU,2021-08-10,74.19,75.45,73.99,75.45,95637
CCI,2021-08-10,194.8,194.98,190.89,190.97,1091206
CCJ,2021-08-10,17.1,17.73,16.99,17.58,3418705
CCL,2021-08-10,22.82,23.85,22.719,23.65,34539608
CCO,2021-08-10,2.44,2.4661,2.405,2.43,621320
CDE,2021-08-10,6.6,6.83,6.531,6.71,3204286
CEA,2021-08-10,17.71,17.91,17.65,17.75,11210
CEE,2021-08-10,27.5,27.65,27.5,27.61,2250
CELP,2021-08-10,1.97,1.98,1.82,1.86,23921
CEN,2021-08-10,12.52,12.84,12.52,12.84,13375
CEQP,2021-08-10,26.55,27.05,26.27,26.81,371114
CFG,2021-08-10,43.73,44.7865,43.56,44.54,3475339
CGA,2021-08-10,9.77,9.77,9.32,9.54,6885
CHD,2021-08-10,84.09,84.37,83.305,84.13,789300
CHGG,2021-08-10,81.54,85.71,80.66,85,3181398
CHK,2021-08-10,54.12,55.82,53.82,55.5,793031
CHKR,2021-08-10,0.62,0.66,0.62,0.655,83830
CHMI,2021-08-10,8.9,9.21,8.78,9.05,571110
CHN,2021-08-10,28.34,28.54,28.34,28.54,2567
CHT,2021-08-10,42.62,42.78,42.62,42.68,133760
CI,2021-08-10,211.39,211.8,209.34,210.95,2369545
CIB,2021-08-10,27.96,28.68,27.96,28.68,194953
CIEN,2021-08-10,56.94,57.01,56.23,56.45,907038
CIG,2021-08-10,2.19,2.225,2.17,2.18,2821342
CII,2021-08-10,21.36,21.51,21.3381,21.51,83622
CIO,2021-08-10,13.22,13.29,13.04,13.19,115949
CIT,2021-08-10,51.91,53.625,51.91,53.4,251812
CLDT,2021-08-10,11.45,11.78,11.39,11.73,146503
CLI,2021-08-10,17.47,17.6,17.27,17.34,304918
CLR,2021-08-10,35.38,37.13,35.3,36.99,1648667
CLX,2021-08-10,164.34,165.77,163.17,164.84,1124150
CMA,2021-08-10,71.72,73.56,71.72,73.38,926393
CMC,2021-08-10,33.05,34.72,33.01,34.7,1388092
CMG,2021-08-10,1882.21,1884.88,1861.585,1866.79,200077
CMRE,2021-08-10,11.18,11.75,11.16,11.64,455921
CNA,2021-08-10,43.28,44.72,43.28,44.3,122055
CNI,2021-08-10,110.13,110.65,107.17,107.31,2520347
CNO,2021-08-10,22.93,23.49,22.87,23.36,595553
CNQ,2021-08-10,32.95,33.915,32.94,33.75,2101023
CO,2021-08-10,5,5.035,4.86,4.9,31578
CODI,2021-08-10,26.46,26.88,26.46,26.77,104580
